Code,Entity,Year,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population,Manufactured cigarettes sold per adult per day,public_health_expenditure_pc_gdp,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","GDP per capita, PPP (constant 2017 international $)",Life expectancy - Type: period - Sex: both - Age: 0,PM₁₀ (Index),PM₂.₅ (Index),Non-methane volatile organic compounds (Index),Nitrogen oxides (Index),Ammonia (Index),Sulphur dioxide (Index),Nitrogen oxide (NOx),Sulphur dioxide (SO鈧) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH鈧) emissions,Proportion of population with primary reliance on clean fuels and technologies for cooking (%) - Residence area type: Total
ABW,,1950,,,,,,,,,57.1739,,,,,,,,,,,,,,
ABW,,1951,,,,,,,,,57.6605,,,,,,,,,,,,,,
ABW,,1952,,,,,,,,,58.6525,,,,,,,,,,,,,,
ABW,,1953,,,,,,,,,59.4873,,,,,,,,,,,,,,
ABW,,1954,,,,,,,,,60.4084,,,,,,,,,,,,,,
ABW,,1955,,,,,,,,,61.229,,,,,,,,,,,,,,
ABW,,1956,,,,,,,,,61.9673,,,,,,,,,,,,,,
ABW,,1957,,,,,,,,,62.6403,,,,,,,,,,,,,,
ABW,,1958,,,,,,,,,63.1484,,,,,,,,,,,,,,
ABW,,1959,,,,,,,,,63.7429,,,,,,,,,,,,,,
ABW,,1960,,,,,,,,,64.1517,,,,,,,,,,,,,,
ABW,,1961,,,,,,,,,64.5375,,,,,,,,,,,,,,
ABW,,1962,,,,,,,,,64.7525,,,,,,,,,,,,,,
ABW,,1963,,,,,,,,,65.1318,,,,,,,,,,,,,,
ABW,,1964,,,,,,,,,65.2945,,,,,,,,,,,,,,
ABW,,1965,,,,,,,,,65.5017,,,,,,,,,,,,,,
ABW,,1966,,,,,,,,,66.0633,,,,,,,,,,,,,,
ABW,,1967,,,,,,,,,66.4393,,,,,,,,,,,,,,
ABW,,1968,,,,,,,,,66.7571,,,,,,,,,,,,,,
ABW,,1969,,,,,,,,,67.1682,,,,,,,,,,,,,,
ABW,,1970,,,,,,,,,67.5827,,,,,,,,,,,,,,
ABW,,1971,,,,,,,,,67.9746,,,,,,,,,,,,,,
ABW,,1972,,,,,,,,,68.5774,,,,,,,,,,,,,,
ABW,,1973,,,,,,,,,69.0918,,,,,,,,,,,,,,
ABW,,1974,,,,,,,,,69.5026,,,,,,,,,,,,,,
ABW,,1975,,,,,,,,,69.7621,,,,,,,,,,,,,,
ABW,,1976,,,,,,,,,70.0352,,,,,,,,,,,,,,
ABW,,1977,,,,,,,,,70.2645,,,,,,,,,,,,,,
ABW,,1978,,,,,,,,,70.494,,,,,,,,,,,,,,
ABW,,1979,,,,,,,,,70.7775,,,,,,,,,,,,,,
ABW,,1980,,,,,,,,,71.0656,,,,,,,,,,,,,,
ABW,,1981,,,,,,,,,71.7223,,,,,,,,,,,,,,
ABW,,1982,,,,,,,,,71.9593,,,,,,,,,,,,,,
ABW,,1983,,,,,,,,,72.1046,,,,,,,,,,,,,,
ABW,,1984,,,,,,,,,72.2514,,,,,,,,,,,,,,
ABW,,1985,,,,,,,,,72.3875,,,,,,,,,,,,,,
ABW,,1986,,,,,,,,,72.4621,,,,,,,,,,,,,,
ABW,,1987,,,,,,,,,72.789,,,,,,,,,,,,,,
ABW,,1988,,,,,,,,,73.0472,,,,,,,,,,,,,,
ABW,,1989,,,,,,,,,73.0227,,,,,,,,,,,,,,
ABW,,1990,,,,,,,,32278.87,73.076,,,,,,,,,,,,,,
ABW,,1991,,,,,,,,33744.11,73.0998,,,,,,,,,,,,,,
ABW,,1992,,,,,,,,34544.062,73.1786,,,,,,,,,,,,,,
ABW,,1993,,,,,,,,35957.816,73.2254,,,,,,,,,,,,,,
ABW,,1994,,,,,,,,37683.918,73.2725,,,,,,,,,,,,,,
ABW,,1995,,,,,,,,37470.176,73.3493,,,,,,,,,,,,,,
ABW,,1996,,,,,,,,36784.46,73.4485,,,,,,,,,,,,,,
ABW,,1997,,,,,,,,38202.406,73.4524,,,,,,,,,,,,,,
ABW,,1998,,,,,,,,37810.035,73.4911,,,,,,,,,,,,,,
ABW,,1999,,,,,,,,37171.22,73.5605,,,,,,,,,,,,,,
ABW,,2000,,,,,,,,39001.727,73.569,,,,,,,,,,,,,,
ABW,,2001,,,,,,,,39920.402,73.6468,,,,,,,,,,,,,,
ABW,,2002,,,,,,,,39073.555,73.7261,,,,,,,,,,,,,,
ABW,,2003,,,,,,,,39115.383,73.7523,,,,,,,,,,,,,,
ABW,,2004,,,,,,,,41591.92,73.5764,,,,,,,,,,,,,,
ABW,,2005,,,,,,,,41019.043,73.811,,,,,,,,,,,,,,
ABW,,2006,,,,,,,,40994.25,74.0259,,,,,,,,,,,,,,
ABW,,2007,,,,,,,,41745.117,74.2099,,,,,,,,,,,,,,
ABW,,2008,,,,,,,,41986.98,74.1468,,,,,,,,,,,,,,
ABW,,2009,,,,,,,,36629.33,74.5603,,,,,,,,,,,,,,
ABW,,2010,,,,,,,,35227.207,75.4039,,,,,,,,,,,,,,
ABW,,2011,,,,,,,,36073.64,75.4651,,,,,,,,,,,,,,
ABW,,2012,,,,,,,,35410.117,75.5308,,,,,,,,,,,,,,
ABW,,2013,,,,,,,,37406.17,75.6361,,,,,,,,,,,,,,
ABW,,2014,,,,,,,,36558.973,75.6006,,,,,,,,,,,,,,
ABW,,2015,,,,,,,,36099.94,75.6831,,,,,,,,,,,,,,
ABW,,2016,,,,,,,,36504.688,75.6168,,,,,,,,,,,,,,
ABW,,2017,,,,,,,,38868.332,75.903,,,,,,,,,,,,,,
ABW,,2018,,,,,,,,39597.66,76.0715,,,,,,,,,,,,,,
ABW,,2019,,,,,,,,38511.336,76.248,,,,,,,,,,,,,,
ABW,,2020,,,,,,,,29236.047,75.7229,,,,,,,,,,,,,,
ABW,,2021,,,,,,,,37333.516,74.6265,,,,,,,,,,,,,,
ABW,,2022,,,,,,,,41273.613,,,,,,,,,,,,,,,
ABW,,2023,,,,,,,,,,,,,,,,,,,,,,,
AFG,,1950,,,,,,,,,27.7275,,,,,,,,,,,,,,
AFG,,1951,,,,,,,,,27.9634,,,,,,,,,,,,,,
AFG,,1952,,,,,,,,,28.4456,,,,,,,,,,,,,,
AFG,,1953,,,,,,,,,28.9304,,,,,,,,,,,,,,
AFG,,1954,,,,,,,,,29.2258,,,,,,,,,,,,,,
AFG,,1955,,,,,,,,,29.9206,,,,,,,,,,,,,,
AFG,,1956,,,,,,,,,30.4078,,,,,,,,,,,,,,
AFG,,1957,,,,,,,,,30.9458,,,,,,,,,,,,,,
AFG,,1958,,,,,,,,,31.5066,,,,,,,,,,,,,,
AFG,,1959,,,,,,,,,32.0386,,,,,,,,,,,,,,
AFG,,1960,,,,,,,,,32.5346,,,,,,,,,,,,,,
AFG,,1961,,,,,,,,,33.0681,,,,,,,,,,,,,,
AFG,,1962,,,,,,,,,33.5471,,,,,,,,,,,,,,
AFG,,1963,,,,,,,,,34.0162,,,,,,,,,,,,,,
AFG,,1964,,,,,,,,,34.4942,,,,,,,,,,,,,,
AFG,,1965,,,,,,,,,34.9528,,,,,,,,,,,,,,
AFG,,1966,,,,,,,,,35.4531,,,,,,,,,,,,,,
AFG,,1967,,,,,,,,,35.924,,,,,,,,,,,,,,
AFG,,1968,,,,,,,,,36.4183,,,,,,,,,,,,,,
AFG,,1969,,,,,,,,,36.9101,,,,,,,,,,,,,,
AFG,,1970,,,,,,,,,37.4178,,,,,,,,,,,,,,
AFG,,1971,,,,,,,,,37.9233,,,,,,,,,,,,,,
AFG,,1972,,,,,,,,,38.4439,,,,,,,,,,,,,,
AFG,,1973,,,,,,,,,39.0029,,,,,,,,,,,,,,
AFG,,1974,,,,,,,,,39.5498,,,,,,,,,,,,,,
AFG,,1975,,,,,,,,,40.1003,,,,,,,,,,,,,,
AFG,,1976,,,,,,,,,40.6454,,,,,,,,,,,,,,
AFG,,1977,,,,,,,,,41.2278,,,,,,,,,,,,,,
