Code,Entity,Year,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
GBR,United Kingdom of Great Britain and Northern Ireland,1950,13813,2.3406469,21.96978259,27.45386427
GBR,United Kingdom of Great Britain and Northern Ireland,1951,14858,2.34802919,23.34123158,29.54563984
GBR,United Kingdom of Great Britain and Northern Ireland,1952,15938,2.77759382,24.73378661,31.60382784
GBR,United Kingdom of Great Britain and Northern Ireland,1953,17131,2.96784588,26.26132476,33.8604824
GBR,United Kingdom of Great Britain and Northern Ireland,1954,18406,3.18222683,27.85514903,36.25726386
GBR,United Kingdom of Great Britain and Northern Ireland,1955,19343,3.24592728,28.86105667,37.9675775
GBR,United Kingdom of Great Britain and Northern Ireland,1956,20501,3.4283698,30.23548403,40.05384537
GBR,United Kingdom of Great Britain and Northern Ireland,1957,21513,3.63887009,31.24982722,41.82950873
GBR,United Kingdom of Great Britain and Northern Ireland,1958,22360,3.70174161,32.11811834,43.289289
GBR,United Kingdom of Great Britain and Northern Ireland,1959,23739,3.91658349,33.69678015,45.69032052
GBR,United Kingdom of Great Britain and Northern Ireland,1960,24757,4.10340644,34.56916034,47.27099146
GBR,United Kingdom of Great Britain and Northern Ireland,1961,25653,4.06038101,35.38861542,48.57014109
GBR,United Kingdom of Great Britain and Northern Ireland,1962,26743,4.20453706,36.44171369,50.13526003
GBR,United Kingdom of Great Britain and Northern Ireland,1963,27620,4.22138263,37.26246453,51.45420539
GBR,United Kingdom of Great Britain and Northern Ireland,1964,28659,4.6895096,38.14091718,53.00567066
GBR,United Kingdom of Great Britain and Northern Ireland,1965,29791,4.74531617,39.10908484,54.72092165
GBR,United Kingdom of Great Britain and Northern Ireland,1966,30483,4.73519388,39.6633736,55.76440759
GBR,United Kingdom of Great Britain and Northern Ireland,1967,31876,5.16871787,40.83991739,57.96679766
GBR,United Kingdom of Great Britain and Northern Ireland,1968,32558,4.96312489,41.40284236,58.88033681
GBR,United Kingdom of Great Britain and Northern Ireland,1969,33590,5.09296673,42.17571783,60.47044167
