Entity,Code,Year,Nitrogen oxide (NOx),Sulphur dioxide (SO鈧) emissions,Carbon monoxide (CO) emissions,Organic carbon (OC) emissions,Non-methane volatile organic compounds (NMVOC) emissions,Black carbon (BC) emissions,Ammonia (NH鈧) emissions
United States,USA,1750,2730.838,2495.7087,1852731.4,103608.12,175782.1,10968.587,12613.964
United States,USA,1760,3206.241,2925.977,2171669.5,121431.734,206068.48,12855.646,14838.134
United States,USA,1770,3788.7942,3451.9944,2561440.8,143210.25,243088.97,15161.47,17571.863
United States,USA,1780,4509.415,4100.9976,3042148.5,170064.97,288757.3,18004.8,20964.81
United States,USA,1790,5408.9683,4908.812,3640215.2,203469.17,345590,21541.66,25215.951
United States,USA,1800,7527.3213,9893.503,4837091.5,270189.66,459443.2,28665.93,33798.156
United States,USA,1801,7794.7373,10311.855,4998875,279215.5,474831.66,29625.172,35048.133
United States,USA,1802,8071.192,10827.852,5160341,288219.88,490193.4,30583.887,36303.438
United States,USA,1803,8329.305,11147.59,5321187.5,297195.38,505493.56,31536.088,37563.473
United States,USA,1804,8623.8955,11859.453,5482016.5,306156.94,520801.88,32493.76,38829.434
United States,USA,1805,8881.824,12178.466,5642026.5,315084.62,536025.3,33440.918,40099.73
United States,USA,1806,9121.308,12300.194,5801419,323983.38,551187.2,34381.543,41374.76
United States,USA,1807,9424.797,13110.124,5961091,332875.72,566392.06,35333.664,42654.684
United States,USA,1808,9691.597,13526.219,6119945.5,341734.12,581512.1,36275.25,43940.523
United States,USA,1809,9953.704,13892.601,6278332.5,350567.38,596588,37213.312,45231.39
United States,USA,1810,10259.267,14715.797,6436350.5,360675.56,611842.8,38928.47,46527.492
United States,USA,1811,10618.95,15377.247,6649084.5,372467.34,632048.75,40143.645,48169.023
United States,USA,1812,10988.258,16138.041,6861960,384264.2,652270.44,41361.11,49817.746
United States,USA,1813,11357.984,16899.453,7074878,396063.56,672496.2,42578.85,51473.465
United States,USA,1814,11732.745,17710.957,7287887.5,407866.78,692731.8,43797.88,53136.28
United States,USA,1815,12107.928,18523.08,7500939,419672.53,712971.5,45017.184,54806.09
United States,USA,1816,12511.185,19633.32,7714326,431488.4,733250.25,46242.816,56481.383
