Code,Year,PM10Primary
USA,1970,13022
USA,1975,7555
USA,1980,7013
USA,1985,41323
USA,1990,27753
USA,1991,27345
USA,1992,27098
USA,1993,27364
USA,1994,28608
USA,1995,25820
USA,1996,22856.997
USA,1997,22908.629
USA,1998,22892.668
USA,1999,23383.385
USA,2000,23746.877
USA,2001,23707.594
USA,2002,16670.19341
USA,2003,17212.38582
USA,2004,16896.43201
USA,2005,17586.35805
USA,2006,16783.26402
USA,2007,17233.74876
USA,2008,16735.43364
USA,2009,16258.96615
USA,2010,16238.52477
USA,2011,16691.56212
USA,2012,16835.89409
USA,2013,15694.73948
USA,2014,15718.04921
USA,2015,16145.62613
USA,2016,16733.65269
USA,2017,17671.97099
USA,2018,17130.05128
USA,2019,15421.77159
USA,2020,16782.41958
USA,2021,20014.11501
USA,2022,17514.16067
USA,2023,17509.10162
