Entity,Code,Year,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
Albania,ALB,2003,651,3.62371277,22.26610403,20.98129281
Albania,ALB,2004,605,3.4088348,19.88578824,19.34599041
Albania,ALB,2000,593,3.61343002,23.07954256,19.04303147
Albania,ALB,2006,567,3.34809566,17.37354931,18.94704551
Albania,ALB,2002,597,3.67429838,21.00042933,19.35703516
Albania,ALB,2001,510,3.36789276,18.06152456,16.6163019
Albania,ALB,2005,543,3.11585471,17.11936067,18.03094149
Albania,ALB,2007,515,3.54487885,15.26766732,17.33994473
Albania,ALB,2008,617,3.82209007,17.81390972,20.93427249
Albania,ALB,2010,352,2.89974462,9.55844631,12.08364215
Albania,ALB,2009,608,3.88200741,16.92460281,20.7684178
Antigua and Barbuda,ATG,2000,4,0.99009901,6.95752036,5.26205009
Antigua and Barbuda,ATG,2001,2,0.43290043,2.92417867,2.59027094
Antigua and Barbuda,ATG,2002,1,0.22522523,1.64925373,1.27722077
Antigua and Barbuda,ATG,2004,2,0.39138943,3.27199088,2.48954392
Antigua and Barbuda,ATG,2003,5,1.10864745,7.51768513,6.30517024
Antigua and Barbuda,ATG,2006,4,0.84388186,4.87837674,4.83652544
Antigua and Barbuda,ATG,2008,4,0.75757576,4.80961454,4.68400529
Antigua and Barbuda,ATG,2005,4,0.81799591,5.64605859,4.91008409
Antigua and Barbuda,ATG,2007,7,1.44628099,8.76443193,8.33075477
Antigua and Barbuda,ATG,2009,11,2.95698925,13.11651098,12.68069998
Antigua and Barbuda,ATG,2013,3,0.63694268,3.28110669,3.2781153
Antigua and Barbuda,ATG,2014,3,0.51724138,3.05349197,3.24107085
Antigua and Barbuda,ATG,2012,8,1.62271805,9.3651783,8.84867657
Argentina,ARG,2002,8212,2.82015179,20.30431404,21.79304363
Argentina,ARG,2000,8410,3.03447977,21.44706993,22.80938565
Argentina,ARG,2001,8177,2.85968084,20.46878262,21.93657136
